"ID","name"
"1","child"
"2","baby"
"3","father"
"4","mother"
"5","man"
"6","woman"
"7","person"
"8","male"
"9","wife"
"10","co-wife"
"11","white man"
"12","black man"
"13","twin"
"14","uncle"
"15","husband"
"16","friend"
"17","friend (female)"
"18","friend (male)"
"19","family"
"20","crowd, group"
"21","chief"
"22","sub chief"
"23","quarter head"
"24","elder (birth)"
"25","aged person"
"26","elder (cultural initiation rites)"
"27","thief"
"28","slave"
"29","wicked man"
"30","stingy man"
"31","jealous man"
"32","lazy man"
"33","deity, god, God"
"34","devil"
"35","witch"
"36","witch man"
"37","spirit"
"38","father-in-law"
"39","mother-in-law"
"41","juju"
"42","hunter"
"43","beggar"
"44","evil society (nyoŋgo)"
"45","female"
"46","prince"
"47","messenger"
"49","fellow man (friendly expression)"
"51","guard"
"52","body"
"53","skin"
"54","head"
"55","face"
"56","eye"
"57","nose"
"58","mouth"
"59","ear"
"60","jaw"
"61","tooth"
"62","tongue"
"63","neck"
"64","belly"
"65","throat"
"66","Adam's apple"
"67","goitre"
"68","hair"
"69","shoulder"
"70","chest"
"71","breast"
"72","rib"
"73","arm"
"74","waist"
"75","navel"
"76","umbilical cord"
"77","elbow"
"78","wrist"
"79","hand"
"80","stomach"
"81","placenta"
"82","back (human body)"
"83","buttock"
"84","anus"
"85","foot"
"86","thigh (lap)"
"87","leg"
"88","toe"
"89","penis"
"90","testicle"
"91","vagina"
"92","clitoris"
"93","armpit"
"94","forehead"
"95","fist"
"96","palm (hand)"
"97","thumb"
"98","finger"
"99","knuckle"
"100","fingernail"
"101","nostril"
"102","chin"
"103","knee"
"104","ankle"
"105","intestine"
"106","liver"
"107","heart"
"108","sole (underfoot)"
"109","gall bladder"
"110","lungs"
"111","toenail"
"112","shin"
"113","heel (backfoot)"
"114","bone"
"115","skull"
"116","spine (backbone)"
"118","spit"
"119","tears"
"120","blood"
"121","water"
"122","urine"
"123","marrow"
"124","marrow (bone)"
"125","marrow (brain)"
"126","brain"
"127","horn (head)"
"128","skeleton"
"129","calf (leg)"
"130","sperm"
"131","teeth"
"132","pregnancy"
"133","gizzard (fowl)"
"134","pain (n)"
"135","vomit"
"136","headache"
"137","diarrhoea"
"138","dysentry"
"139","scabies"
"141","catarrh"
"142","itching catarrh"
"143","cough (n)"
"144","boil (abscess)"
"145","boil (small abscess)"
"146","Flat swelling (filaria)"
"147","swelling (with no pus)"
"149","sweat"
"150","snore"
"151","belch"
"152","pimple"
"153","wicklow"
"154","swell (n)"
"155","hienia (swellings around groin)"
"156","mumps"
"157","wound"
"158","fungi pimple"
"159","pus"
"160","scar"
"161","ringworm"
"162","eczema"
"163","leprosy"
"164","sickness"
"165","death"
"166","skin rashes (baby)"
"167","spleen (side belly pain)"
"168","breath, air"
"169","hunger"
"170","abstinence"
"171","side pain (rapid heart beat under the left breast)"
"172","sneeze"
"174","vomit matter"
"175","medicine"
"176","tree"
"177","k.o tree (boundary tree)"
"178","k.o tree (boma) (fruit, children spin)"
"179","k.o tree (camwood tree)"
"180","k.o tree (spoon-fruit)"
"181","k.o tree"
"182","cloth-tree"
"183","k.o tree (leaf)"
"184","k.o tree (brown edible leaves)"
"185","k.o tree (caterpillars for crabs)"
"186","ʻNkohʼ tree"
"187","ʻNkohʼ leaf"
"188","bitter leaf"
"189","foam"
"190","sand-paper tree"
"191","stick"
"192","firewood"
"193","peace plant"
"194","food"
"195","branch (tree)"
"196","soup (vegetable)"
"197","soup (liquid)"
"198","date palm"
"199","grass"
"200","spear grass"
"201","leaf"
"202","stem"
"203","root"
"204","moss plant"
"205","tobacco"
"206","tobacco powder"
"207","tobacco leaf"
"208","camwood"
"209","wax (native-incense)"
"210","charcoal"
"211","ash (wood)"
"212","bark (of tree)"
"214","forest"
"215","thatch grass"
"216","hill grass"
"217","poison"
"218","fruit"
"219","orange"
"220","pear"
"221","pawpaw"
"222","pineapple"
"223","groundnut"
"224","cola"
"225","k.o fruit"
